feature,importance
years_experience,0.3677493774757334
experience_level_EX,0.2563741446917633
job_description_length,0.08943671567103219
benefits_score,0.06676678000866773
experience_level_SE,0.05705597154447302
skills_count,0.017673331164748417
education_required_Bachelor,0.008230242988064906
experience_level_MI,0.008073847904983972
education_required_Master,0.007599386997791441
remote_type_Hybrid,0.007466022836313355
remote_type_Fully Remote,0.00720803899985238
education_required_PhD,0.006805116346051431
industry_Telecommunications,0.006589103185487318
remote_type_Onsite,0.006338610288976113
industry_Media,0.006292304411168834
industry_Retail,0.006125483564426745
industry_Technology,0.0060216463628497315
education_required_Associate,0.0059343763077411
industry_Transportation,0.0056534550587933625
industry_Gaming,0.005618182801909111
experience_level_EN,0.005357838962201348
industry_Education,0.005215462251671029
industry_Healthcare,0.0051987753343147175
industry_Consulting,0.005186735626979102
industry_Finance,0.0051836432140148665
industry_Government,0.005086918724324279
industry_Manufacturing,0.00503975976412568
industry_Energy,0.004955550083326397
industry_Automotive,0.0049450165018451965
industry_Real Estate,0.004818160926369533
